startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar_0,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9
419,한성대입구역,456,오이도역,446,대야미역,1,0,FRI,10,30,8,9,9,14,8,8,10,8,5.0,3.0
419,한성대입구역,456,오이도역,446,대야미역,1,0,FRI,10,40,3,11,13,17,13,14,8,6,7.0,7.0
419,한성대입구역,456,오이도역,446,대야미역,1,0,FRI,10,50,5,6,10,11,12,13,9,5,3.0,5.0
433,사당역,456,오이도역,446,대야미역,1,0,FRI,10,00,5,7,11,13,13,14,10,8,7.0,3.0
433,사당역,456,오이도역,446,대야미역,1,0,FRI,10,10,5,6,6,11,11,8,8,5,4.0,6.0
433,사당역,456,오이도역,446,대야미역,1,0,FRI,10,20,9,11,11,11,20,16,19,10,6.0,9.0
433,사당역,456,오이도역,446,대야미역,1,0,FRI,10,30,8,9,9,14,8,8,10,8,5.0,3.0
433,사당역,456,오이도역,446,대야미역,1,0,FRI,10,40,3,11,13,17,13,14,8,6,7.0,7.0
433,사당역,456,오이도역,446,대야미역,1,0,FRI,10,50,5,6,10,11,12,13,9,5,3.0,5.0
443,금정역,456,오이도역,446,대야미역,1,0,FRI,10,00,5,7,11,13,13,14,10,8,7.0,3.0
443,금정역,456,오이도역,446,대야미역,1,0,FRI,10,10,5,6,6,11,11,8,8,5,4.0,6.0
443,금정역,456,오이도역,446,대야미역,1,0,FRI,10,20,9,11,11,11,20,16,19,10,6.0,9.0
443,금정역,456,오이도역,446,대야미역,1,0,FRI,10,30,8,9,9,14,8,8,10,8,5.0,3.0
443,금정역,456,오이도역,446,대야미역,1,0,FRI,10,40,3,11,13,17,13,14,8,6,7.0,7.0
443,금정역,456,오이도역,446,대야미역,1,0,FRI,10,50,5,6,10,11,12,13,9,5,3.0,5.0
453,안산역,409,당고개역,448,상록수역,0,0,FRI,10,00,19,18,23,26,26,29,24,18,22.0,25.0
